Capital Asset Pricing Model,,,,,,,,Date,S&P 500,LAAC,,HPR S&P 500,HPR LAAC,,HPR S&P 500,,,,*LAAC Beta:,1.68
,,,,,,,,4/1/2018,"2,648.05 ",2.06 ,,0.27 ,(5.89),,0.0027 ,1.0027 ,,,,
,,,,,,,,5/1/2018,"2,705.27 ",2.14 ,,2.14 ,4.03 ,,0.0214 ,1.0214 ,,,,
,,,,,,,,6/1/2018,"2,718.37 ",2.17 ,,0.48 ,1.31 ,,0.0048 ,1.0048 ,,,,
,,,,,,,,7/1/2018,"2,816.29 ",1.55 ,,3.54 ,(33.91),,0.0354 ,1.0354 ,,,,
,,,,,,,,8/1/2018,"2,901.52 ",1.92 ,,2.98 ,21.69 ,,0.0298 ,1.0298 ,,,,
,,,,,,,,9/1/2018,"2,913.98 ",1.93 ,,0.43 ,0.63 ,,0.0043 ,1.0043 ,,,,
,,,,,,,,10/1/2018,"2,711.74 ",1.30 ,,(7.19),(39.92),,(0.0719),0.9281 ,,,,
,,,,,,,,11/1/2018,"2,760.17 ",1.53 ,,1.77 ,16.82 ,,0.0177 ,1.0177 ,,,,
,,,,,,,,12/1/2018,"2,506.85 ",1.28 ,,(9.63),(18.39),,(0.0963),0.9037 ,,,,
,,,,,,,,1/1/2019,"2,704.10 ",1.30 ,,7.57 ,1.88 ,,0.0757 ,1.0757 ,,,,
,,,,,,,,2/1/2019,"2,784.49 ",1.49 ,,2.93 ,13.59 ,,0.0293 ,1.0293 ,,,,
,,,,,,,,3/1/2019,"2,834.40 ",1.52 ,,1.78 ,2.14 ,,0.0178 ,1.0178 ,,,,
,,,,,,,,4/1/2019,"2,945.83 ",1.49 ,,3.86 ,(2.14),,0.0386 ,1.0386 ,,,,
,,,,,,,,5/1/2019,"2,752.06 ",1.62 ,,(6.80),8.54 ,,(0.0680),0.9320 ,,,,
,,,,,,,,6/1/2019,"2,941.76 ",1.63 ,,6.67 ,0.50 ,,0.0667 ,1.0667 ,,,,
,,,,,,,,7/1/2019,"2,980.38 ",1.49 ,,1.30 ,(9.31),,0.0130 ,1.0130 ,,,,
,,,,,,,,8/1/2019,"2,926.46 ",1.29 ,,(1.83),(14.25),,(0.0183),0.9817 ,,,,
,,,,,,,,9/1/2019,"2,976.74 ",1.23 ,,1.70 ,(4.80),,0.0170 ,1.0170 ,,,,
,,,,,,,,10/1/2019,"3,037.56 ",1.20 ,,2.02 ,(1.99),,0.0202 ,1.0202 ,,,,
,,,,,,,,11/1/2019,"3,140.98 ",1.17 ,,3.35 ,(3.06),,0.0335 ,1.0335 ,,,,
,,,,,,,,12/1/2019,"3,230.78 ",1.28 ,,2.82 ,8.90 ,,0.0282 ,1.0282 ,,,,
,,,,,,,,1/1/2020,"3,225.52 ",1.51 ,,(0.16),16.80 ,,(0.0016),0.9984 ,,,,
,,,,,,,,2/1/2020,"2,954.22 ",1.65 ,,(8.79),8.68 ,,(0.0879),0.9121 ,,,,
,,,,,,,,3/1/2020,"2,584.59 ",1.07 ,,(13.37),(43.02),,(0.1337),0.8663 ,,,,
,,,,,,,,4/1/2020,"2,912.43 ",1.34 ,,11.94 ,22.46 ,,0.1194 ,1.1194 ,,,,
,,,,,,,,5/1/2020,"3,044.31 ",1.66 ,,4.43 ,21.29 ,,0.0443 ,1.0443 ,,,,
,,,,,,,,6/1/2020,"3,100.29 ",2.04 ,,1.82 ,20.75 ,,0.0182 ,1.0182 ,,,,
,,,,,,,,7/1/2020,"3,271.12 ",2.46 ,,5.36 ,18.82 ,,0.0536 ,1.0536 ,,,,
,,,,,,,,8/1/2020,"3,500.31 ",3.18 ,,6.77 ,25.53 ,,0.0677 ,1.0677 ,,,,
,,,,,,,,9/1/2020,"3,363.00 ",4.59 ,,(4.00),36.59 ,,(0.0400),0.9600 ,,,,
,,,,,,,,10/1/2020,"3,269.96 ",3.87 ,,(2.81),(16.99),,(0.0281),0.9719 ,,,,
,,,,,,,,11/1/2020,"3,621.63 ",4.53 ,,10.21 ,15.85 ,,0.1021 ,1.1021 ,,,,
,,,,,,,,12/1/2020,"3,756.07 ",5.05 ,,3.64 ,10.85 ,,0.0364 ,1.0364 ,,,,
,,,,,,,,1/1/2021,"3,714.24 ",7.93 ,,(1.12),45.14 ,,(0.0112),0.9888 ,,,,
,,,,,,,,2/1/2021,"3,811.15 ",7.53 ,,2.58 ,(5.26),,0.0258 ,1.0258 ,,,,
,,,,,,,,3/1/2021,"3,972.89 ",6.47 ,,4.16 ,(15.16),,0.0416 ,1.0416 ,,,,
,,,,,,,,4/1/2021,"4,181.17 ",5.70 ,,5.11 ,(12.65),,0.0511 ,1.0511 ,,,,
,,,,,,,,5/1/2021,"4,204.11 ",6.16 ,,0.55 ,7.74 ,,0.0055 ,1.0055 ,,,,
,,,,,,,,6/1/2021,"4,297.50 ",5.97 ,,2.20 ,(3.05),,0.0220 ,1.0220 ,,,,
,,,,,,,,7/1/2021,"4,395.26 ",5.88 ,,2.25 ,(1.56),,0.0225 ,1.0225 ,,,,
,,,,,,,,8/1/2021,"4,522.68 ",8.02 ,,2.86 ,30.95 ,,0.0286 ,1.0286 ,,,,
,,,,,,,,9/1/2021,"4,307.54 ",8.99 ,,(4.87),11.47 ,,(0.0487),0.9513 ,,,,
,,,,,,,,10/1/2021,"4,605.38 ",11.68 ,,6.69 ,26.21 ,,0.0669 ,1.0669 ,,,,
,,,,,,,,11/1/2021,"4,567.00 ",15.83 ,,(0.84),30.35 ,,(0.0084),0.9916 ,,,,
,,,,,,,,12/1/2021,"4,766.18 ",11.72 ,,4.27 ,(30.01),,0.0427 ,1.0427 ,,,,
,,,,,,,,1/1/2022,"4,515.55 ",10.54 ,,(5.40),(10.68),,(0.0540),0.9460 ,,,,
,,,,,,,,2/1/2022,"4,373.94 ",11.49 ,,(3.19),8.67 ,,(0.0319),0.9681 ,,,,
,,,,,,,,3/1/2022,"4,530.41 ",15.50 ,,3.51 ,29.91 ,,0.0351 ,1.0351 ,,,,
,,,,,,,,4/1/2022,"4,131.93 ",10.13 ,,(9.21),(42.51),,(0.0921),0.9079 ,,,,
,,,,,,,,5/1/2022,"4,132.15 ",9.88 ,,0.01 ,(2.54),,0.0001 ,1.0001 ,,,,
,,,,,,,,6/1/2022,"3,785.38 ",8.10 ,,(8.77),(19.77),,(0.0877),0.9123 ,,,,
,,,,,,,,7/1/2022,"4,130.29 ",10.23 ,,8.72 ,23.29 ,,0.0872 ,1.0872 ,,,,
,,,,,,,,8/1/2022,"3,955.00 ",11.53 ,,(4.34),12.00 ,,(0.0434),0.9566 ,,,,
,,,,,,,,9/1/2022,"3,585.62 ",10.56 ,,(9.80),(8.82),,(0.0980),0.9020 ,,,,
,,,,,,,,10/1/2022,"3,871.98 ",10.02 ,,7.68 ,(5.28),,0.0768 ,1.0768 ,,,,
,,,,,,,,11/1/2022,"4,080.11 ",10.06 ,,5.24 ,0.40 ,,0.0524 ,1.0524 ,,,,
,,,,,,,,12/1/2022,"3,839.50 ",7.63 ,,(6.08),(27.63),,(0.0608),0.9392 ,,,,
,,,,,,,,1/1/2023,"4,076.60 ",10.16 ,,5.99 ,28.62 ,,0.0599 ,1.0599 ,,,,
,,,,,,,,2/1/2023,"3,970.15 ",9.50 ,,(2.65),(6.72),,(0.0265),0.9735 ,,,,
,,,,,,,,3/1/2023,"4,109.31 ",8.76 ,,3.45 ,(8.07),,0.0345 ,1.0345 ,,,,
,,,,,,,,4/1/2023,"4,169.48 ",8.04 ,,1.45 ,(8.53),,0.0145 ,1.0145 ,,,,
,,,,,,,,5/1/2023,"4,179.83 ",8.13 ,,0.25 ,1.05 ,,0.0025 ,1.0025 ,,,,
,,,,,,,,6/1/2023,"4,450.38 ",8.14 ,,6.27 ,0.10 ,,0.0627 ,1.0627 ,,,,
,,,,,,,,7/1/2023,"4,588.96 ",8.12 ,,3.07 ,(0.15),,0.0307 ,1.0307 ,,,,
,,,,,,,,8/1/2023,"4,507.66 ",7.38 ,,(1.79),(9.67),,(0.0179),0.9821 ,,,,
,,,,,,,,9/1/2023,"4,288.05 ",6.85 ,,(4.99),(7.42),,(0.0499),0.9501 ,,,,
,,,,,,,,10/1/2023,"4,193.80 ",5.53 ,,(2.22),(21.37),,(0.0222),0.9778 ,,,,
,,,,,,,,11/1/2023,"4,567.80 ",5.31 ,,8.54 ,(4.06),,0.0854 ,1.0854 ,,,,
,,,,,,,,12/1/2023,"4,769.83 ",6.32 ,,4.33 ,17.41 ,,0.0433 ,1.0433 ,,,,
,,,,,,,,1/1/2024,"4,845.65 ",4.44 ,,1.58 ,(35.31),,0.0158 ,1.0158 ,,,,
,,,,,,,,2/1/2024,"5,096.27 ",4.93 ,,5.04 ,10.47 ,,0.0504 ,1.0504 ,,,,
,,,,,,,,3/1/2024,"5,123.69 ",5.00 ,,0.54 ,1.41 ,,0.0054 ,1.0054 ,,,,
,,,,,,,,,,,,,,,,,,,,
