Date,R,P,Y
1996.5,5.31,1.30976,-0.1935082232805
1996.75,5.28,2.13572,0.0150407045090
1997,5.28,2.38520,-0.2072543814036
1997.25,5.52,0.81016,0.5414067786372
1997.5,5.53,1.73560,0.8489098552436
1997.75,5.51,1.31488,0.7407457515280
1998,5.52,0.58840,0.7539574534029
1998.25,5.50,0.94008,0.6715846449548
1998.5,5.53,1.72124,0.9070801424684
1998.75,4.86,1.09836,1.4982586027057
1999,4.73,1.28056,1.4075748059635
1999.25,4.75,1.51380,1.2059811822373
1999.5,5.10,1.42404,1.4909391493404
1999.75,5.30,2.20964,2.0907329598726
2000,5.68,2.65572,1.4036643483070
2000.25,6.27,2.49336,2.2133278532749
2000.5,6.52,2.34428,1.3362201860894
2000.75,6.47,2.17216,1.0138149459703
2001,5.60,2.62300,-0.1765141900067
2001.25,4.33,2.41908,-0.3670734310908
2001.5,3.50,1.57124,-1.5191401066527
2001.75,2.13,1.24508,-1.9535464670848
2002,1.73,1.29104,-1.8114365258152
2002.25,1.75,1.38628,-1.8510070072902
2002.5,1.74,1.92616,-2.0817133349300
2002.75,1.44,2.29636,-2.5647218086625
2003,1.25,1.99416,-2.6660776698825
2003.25,1.25,1.37972,-2.4049464628414
2003.5,1.02,2.27384,-1.3892272175174
2003.75,1.00,2.46388,-0.8692681703331
2004,1.00,2.82812,-0.9280386844140
2004.25,1.01,3.21356,-0.7892979851306
2004.5,1.43,2.56832,-0.5011828026972
2004.75,1.95,3.09240,-0.1363713865571
2005,2.47,3.18528,0.3324896494158
2005.25,2.94,2.91024,0.2008150706837
2005.5,3.46,3.63796,0.3793773180081
2005.75,3.98,3.23644,0.3569402122699
2006,4.45,2.81764,1.1306021794279
2006.25,4.91,3.54672,0.8147584865889
2006.5,5.25,2.79112,0.4292487489207
2006.75,5.24,1.49624,0.7620907190472
2007,5.25,3.83436,0.5480154397355
2007.25,5.25,2.67424,0.6786557078617
2007.5,5.07,2.07672,0.7711032487138
2007.75,4.50,1.69584,0.8763926381758
2008,3.18,1.40580,-0.0317702375943
2008.25,2.08,2.02872,0.0622689944924
2008.5,1.94,3.01712,-0.9140455019105
2008.75,0.51,0.94896,-3.4860718276632
2009,0.18,-0.19776,-4.9790944063897
2009.25,0.18,-0.69880,-5.4793774568081
2009.5,0.15,0.43016,-5.4557860554528
2009.75,0.12,1.31852,-4.7557152648726
2010,0.13,1.08748,-4.5905218747647
2010.25,0.19,1.95132,-3.9873229657479
2010.5,0.19,1.20844,-3.5815431538272
2010.75,0.19,2.34312,-3.4290407945992
2011,0.15,2.06512,-4.0202987326086
2011.25,0.09,2.64212,-3.7424550728945
2011.5,0.08,2.47376,-4.1631700994392
2011.75,0.07,0.48280,-3.4832416858154
2012,0.10,2.42720,-3.0988238138729
2012.25,0.15,1.61108,-3.0726105554013
2012.5,0.14,2.07396,-3.3250444364821
2012.75,0.16,2.02732,-3.6450404845200
2013,0.14,1.60020,-3.2431023572144
2013.25,0.12,1.13504,-3.5452808806774
2013.5,0.09,1.88508,-3.2215718476605
2013.75,0.09,2.39044,-2.9783366651462
2014,0.07,1.66608,-3.7628238708264
2014.25,0.09,2.26536,-2.9771663833844
2014.5,0.09,1.74644,-2.3067529660184
2014.75,0.10,0.66552,-2.3292276209052
2015,0.11,-0.14212,-1.9969284462899
2015.25,0.13,2.16688,-1.8894438222138
2015.5,0.13,1.19224,-2.0273802474028
2015.75,0.16,-0.03808,-2.3295166118957
2016,0.36,-0.32008,-2.1941545318582
2016.25,0.37,2.82568,-2.3309284699294
2016.5,0.39,1.10948,-2.1700397537368
2016.75,0.45,2.10708,-2.1066142674956
2017,0.70,2.06972,-2.1091582795347
2017.25,0.95,1.24440,-2.0363639403408
2017.5,1.15,2.00800,-1.6573600434653
2017.75,1.20,2.75416,-1.1113372557533
2018,1.45,2.45552,-0.8785524228508
2018.25,1.74,3.43212,-0.6508428355885
2018.5,1.93,1.34592,-0.4066398990506
2018.75,2.22,1.81868,-0.6977434168338
2019,2.40,1.54772,-0.6296759787171
2019.25,2.40,2.23016,-0.4342713313597
2019.5,2.19,1.30500,-0.0234504589474
2019.75,1.65,1.46780,-0.0515359011873
2020,1.25,1.61116,-1.6798575188629
2020.25,0.06,-1.49888,-10.4174376471986
2020.5,0.09,3.46216,-3.7659096021930
2020.75,0.09,2.53048,-3.2465895658016
2021,0.08,4.98028,-2.1800820484523
2021.25,0.07,6.20736,-0.9564794792882
2021.5,0.09,6.07180,-0.7578437376720
2021.75,0.08,6.66932,0.4614324688452
2022,0.12,8.10464,-0.4066991744750
2022.25,0.77,8.80376,-1.0243627488536
2022.5,2.18,4.29292,-0.7093644203320
2022.75,3.65,3.87312,-0.5320152723736
